	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20
HIT 1	221.247046890218	8047.35923023213	362.576364610306	4056.26723620685	6727.68177070743	43.0678717900707	215.424677546891	82.6164720707799	5237.90519229365	2669.31343554854	164.565614686045	5035.26969745557	38.6013025870637	45.3744850252244	41.9332313783185	128.101297956969	161.174737819815	41.4385877866698	380.81200875292	277.977524645208
HIT 10	1496.12986145237	12665.4930883861	19408.3713115785	773.350216302038	9260.28558611496	126.214584810892	3780.94497033184	412.080598196216	337.742368011748	1874.89816083735	10179.4995723878	300.875913227997	155.28861827254	345.216933232293	140.408248329754	64.2158265256252	23979.6903132628	976.098626887242	250.409380943278	1381.29973498495
HIT 100	280.103312771976	277.016234757362	11713.6486072806	144.182762204636	115.759902859058	45.8409037071144	208.399017858726	37.288259456394	370.783479106334	374.146473520725	229.63201623488	141.663434169491	38.3199436923235	39.3553347112686	46.3235209364995	44.0188670553662	265.294675936788	42.5793115783906	235.648835384112	568.519244252401
HIT 1000	295.019071348019	241.540979437763	2868.80308870234	390.871913003745	204.369258152472	312.638417216311	194.207757042161	372.599522181397	122.552950743508	1720.42025381768	598.343218088952	412.442128600778	612.648032373986	41.1144109989548	114.856887049859	52.0835713500714	274.328374341185	8606.95886191851	799.742830395294	613.465463101955
HIT 1001	36.976932149066	41.4881983537038	54.4119263601246	43.5625443066857	64.4770940566979	42.156710348656	37.2529233028305	35.6975655066059	46.2967012219022	40.7062658684585	45.6612695703892	37.8308634700178	36.3413333339039	35.5298355545344	41.8037669795947	37.5611007443581	64.873021147637	44.5656339435742	40.3398456286012	43.6155788708797
HIT 1002	140.105445300536	89.5143149036537	200.365396857947	1240.25925430697	162.943015779967	220.149094222799	357.573101882007	280.837943125006	64.7905740007674	243.417624778061	139.441426869131	140.013786305449	801.225150064055	43.9216925201182	224.698708881875	50.1926738595909	156.67687688612	72.2419149520134	57.091997038638	332.987929067238
HIT 1003	957.289176329262	41.1862480611004	891.007516725681	1589.13464069898	3442.54969990563	15041.2756979495	33769.7791025092	20273.6750941015	58.3495295389329	28844.4751952907	1058.06393883566	805.81312988936	218.809554910776	384.591148798254	14405.6702626504	1900.49398819338	309.99133505874	52.6643238209396	216.921571611602	2566.5176865392
HIT 1004	822.244513396743	41.0848579559073	866.759384933745	845.634894119526	3232.66843980476	10903.3232821262	20340.8683454953	12821.6452988955	70.2129136675305	20221.3394101177	1336.12867353763	918.082049618675	186.459338662387	3178.64755488804	15421.7568071871	2490.40959945178	284.956497300623	72.4683960491085	193.398532004461	1742.60170519567
HIT 1005	7913.52033981326	68.3809219663855	4644.3814003658	5049.08348152075	31202.6443967355	38469.1775236105	63538.5773456586	45249.384730164	169.757269733069	72988.6334217416	10843.891093033	3065.04955862415	943.196286898977	34251.6603584463	41744.6225526745	2644.79041626162	1879.40851684905	148.945333952392	1609.61327623644	8139.80675958694
HIT 1006	763.762669847185	210.662319262195	2175.17378387948	5507.70928162455	22670.5580072511	4898.60136732388	2832.79347162797	1720.56902594509	1821.49209750601	2046.11959404952	1324.08461505925	1059.13102736011	1123.7475885418	8259.04593039698	3338.82091332664	1346.87017435777	831.228068190771	371.911146558352	1398.87339553301	4334.33575868297
HIT 1008	164.71770255965	65.4765785003384	285.749780116744	298.18915147391	387.925203222662	237.638127135219	326.181197394039	149.155739606421	59.0255951171149	285.355728888712	128.397890787091	128.834827768424	160.974475802329	230.674766574092	310.291587188545	462.716554255631	120.525665524246	56.1159126439017	62.6759298992668	283.411304722506
HIT 1009	49.8232467891838	36.6098577550543	55.7883133788118	44.2904599251143	46.4598239648671	45.0130472067388	37.1050799976543	36.8446309513678	48.6640119198757	39.9844067892317	44.4740559496674	36.9624098398254	37.5265283335308	35.9296549259087	44.5475615009441	42.5916373256181	61.802161378758	37.4357805774033	39.3288230979823	39.9233371798966
HIT 101	98.4529781227273	63.6294619643231	1459.66091894986	118.449970051031	57.3860917305106	43.2452896810751	107.74053926024	35.2991088776886	135.128065252168	387.746349916077	78.2277332263383	196.885200548404	36.7955563603681	36.1143512656674	43.4972762208199	46.8696065962362	91.0186838221831	39.4666953961255	80.2082373917864	105.757214797576
HIT 1010	36.0954288558256	35.4881770694004	57.5227582347046	43.443702098645	45.8157543123243	42.8790435972274	36.3980602751314	35.4652999285304	44.1459711150998	40.4742344434742	42.9392148407953	36.3004668167086	36.7076045626211	35.3655517199939	42.9217874803859	37.722340736144	68.1309885124563	38.948124544579	38.3505386937912	38.6967605062759
HIT 1011	36.8358834229089	37.1612874952332	55.2846524736007	44.0008285265678	56.2606759442321	41.7201704852434	35.3647737110369	37.5397856005287	45.3227618404544	38.8148436547523	42.6619710442424	35.7854850785177	36.2032744824618	35.6824202227421	42.7638878391202	45.8776218768456	88.0866112445295	40.533736176057	38.5165456346864	39.3257593763278
