L1	L2	species	specimen	oligoID	pmTm
Actinobacteria	Actinomycetaceae	Actinomyces naeslundii	Actinomyces naeslundii	HIT 1589	55.2
Actinobacteria	Actinomycetaceae	Actinomyces naeslundii	Actinomyces naeslundii	HIT 1590	60.1
Actinobacteria	Actinomycetaceae	Uncultured bacterium clone Eldhufec234	Uncultured bacterium clone Eldhufec234	HIT 6743	63.3
Actinobacteria	Atopobium	Atopobium minutum	Atopobium minutum	HIT 832	60
Actinobacteria	Atopobium	Atopobium minutum	Atopobium minutum	HIT 833	59.3
Actinobacteria	Atopobium	Atopobium minutum	Atopobium minutum	HIT 834	60.1
Actinobacteria	Atopobium	Atopobium minutum	Atopobium minutum	HIT 961	58.4
Actinobacteria	Atopobium	Atopobium minutum	Atopobium minutum	HIT 962	59
Actinobacteria	Atopobium	Atopobium minutum	Atopobium minutum	HIT 963	58.6
Actinobacteria	Atopobium	Atopobium parvulum	Atopobium parvulum	HIT 830	58.7
Actinobacteria	Atopobium	Atopobium parvulum	Atopobium parvulum	HIT 831	61
Actinobacteria	Atopobium	Atopobium parvulum	Atopobium parvulum	HIT 832	60
Actinobacteria	Atopobium	Atopobium parvulum	Atopobium parvulum	HIT 833	59.3
Actinobacteria	Atopobium	Atopobium parvulum	Atopobium parvulum	HIT 834	60.1
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium adolescentis	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium adolescentis	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium adolescentis	HIT 1185	59.7
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium adolescentis	HIT 2591	57.5
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. CB8	HIT 1123	53.2
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. CB8	HIT 1124	56.5
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. CB8	HIT 1125	57.5
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. PL1	HIT 1123	53.2
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. PL1	HIT 1124	56.5
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. PL1	HIT 1125	57.5
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. PL1	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. PL1	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. PL1	HIT 1145	58
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15A	HIT 1123	53.2
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15A	HIT 1124	56.5
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15A	HIT 1125	57.5
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15A	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15A	HIT 1127	57.5
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15A	HIT 2591	57.5
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15B	HIT 1123	53.2
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15B	HIT 1124	56.5
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15B	HIT 1125	57.5
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15B	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15B	HIT 1127	57.5
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15B	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15B	HIT 2591	57.5
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 16F	HIT 1123	53.2
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 16F	HIT 1124	56.5
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 16F	HIT 1125	57.5
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 16F	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 16F	HIT 1128	59
